mjd          cr      cr_err  hr      hr_err	    f_w2       f_w2_e
56669.406    0.075   0.009   +0.11   0.12   6.273338e-14 2.940956e-15
56673.660    0.073   0.009   +0.07   0.12   6.102373e-14 2.860807e-15
56677.933    0.117   0.013   +0.11   0.09   6.273338e-14 2.940956e-15
56681.337    0.105   0.011   +0.05   0.11   6.273338e-14 2.940956e-15
56685.937    0.175   0.013   -0.03   0.07   6.331385e-14 2.968168e-15
56689.348    0.191   0.015   -0.13   0.08   6.273338e-14 2.940956e-15
56693.685    0.119   0.013   +0.06   0.11   6.691118e-14 3.136812e-15
56697.876    0.071   0.010   -0.11   0.14   6.753031e-14 3.165837e-15
56701.960    0.131   0.013   -0.08   0.10   6.629774e-14 3.108054e-15
56793.963    0.076   0.010   -0.02   0.14   5.668899e-14 2.657593e-15
56799.960    0.061   0.009   +0.12   0.14   5.774292e-14 2.707002e-15
56809.646    0.060   0.010   +0.27   0.15   5.881644e-14 2.757328e-15
56813.427     NA     0.00     NA     0.00   5.827721e-14 2.732049e-15
56817.298     NA     0.00     NA     0.00   5.514406e-14 3.116565e-15
56821.025    0.071   0.010   +0.32   0.13   5.122698e-14 2.895184e-15
56825.213    0.067   0.009   +0.04   0.13   4.715185e-14 2.664871e-15
56829.746    0.101   0.010   +0.19   0.10   5.364123e-14 3.031630e-15
56833.674    0.121   0.012   +0.21   0.10   5.075732e-14 2.868641e-15
56837.008    0.158   0.014   -0.02   0.09   5.314944e-14 3.003836e-15
56845.672    0.098   0.010   +0.21   0.10   5.266217e-14 2.468815e-15
56849.218    0.080   0.010   -0.03   0.13   5.616926e-14 2.633228e-15
56853.469    0.064   0.009   -0.15   0.14   5.514406e-14 2.585166e-15
56857.868    0.176   0.022   +0.01   0.12   5.616926e-14 2.633228e-15
56865.471    0.102   0.011   +0.02   0.11   6.449094e-14 3.023351e-15
56873.133    0.163   0.015   +0.16   0.09   6.942226e-14 3.254532e-15
56881.190    0.171   0.014   +0.14   0.08   6.568992e-14 3.079559e-15
56889.069    0.153   0.014   -0.05   0.09   7.006461e-14 3.284645e-15
56897.852    0.771   0.040   -0.15   0.05   6.331385e-14 2.968168e-15
56912.114    1.365   0.062   -0.23   0.05   8.269871e-14 3.876935e-15
56913.188    1.473   0.066   -0.20   0.05   8.194052e-14 3.841391e-15
56917.377    1.060   0.038   -0.20   0.04   6.942226e-14 3.254532e-15
56918.472    1.044   0.029   -0.23   0.03   8.269871e-14 3.876935e-15
56919.612    0.627   0.021   -0.22   0.04   7.825259e-14 3.668500e-15
56920.307    0.738   0.022   -0.25   0.03   7.682432e-14 3.601542e-15
56921.070    0.509   0.017   -0.12   0.05   7.753517e-14 2.894510e-15
56922.911    0.642   0.024   -0.20   0.04   7.682432e-14 3.601542e-15
56923.315    0.918   0.033   -0.05   0.06   7.336666e-14 3.439446e-15
56925.436    0.952   0.042   -0.17   0.05   7.542212e-14 3.535807e-15
56926.301    0.535   0.029   -0.08   0.09   7.825259e-14 3.668500e-15
56927.3       NA     0.00     NA     0.00   7.825259e-14 3.668500e-15
56928.700    0.498   0.030   +0.06   0.10   7.682432e-14 3.601542e-15
56929.765    0.448   0.024   -0.21   0.08   7.473064e-14 3.503390e-15
56931.363    0.386   0.024   +0.01   0.11   7.825259e-14 3.668500e-15
56935.375    0.208   0.024    NA     0.00   7.269403e-14 3.407913e-15
56936.758    0.221   0.030    NA     0.00   7.269403e-14 3.407913e-15
56941.691    0.116   0.012   -0.08   0.10   6.942226e-14 3.254532e-15
56945.903    0.076   0.010   +0.04   0.13   6.158837e-14 2.887277e-15
56949.036    0.100   0.021   +0.19   0.22   6.753031e-14 3.165837e-15
56952.553    0.148   0.019   +0.01   0.13   7.006461e-14 3.284645e-15
56957.143    0.247   0.026   -0.11   0.10   7.682432e-14 3.601542e-15
56966.739    0.073   0.010   -0.13   0.13   7.202756e-14 3.376669e-15
56973.612    0.047   0.008   +0.36   0.15   6.815516e-14 3.195130e-15
56981.390    0.154   0.013   +0.09   0.09   7.336666e-14 3.439446e-15
56989.381    0.103   0.011   +0.07   0.11   6.449094e-14 3.023351e-15
56997.107    0.150   0.014   +0.09   0.13   6.273338e-14 2.940956e-15
57005.499    0.083   0.010   +0.06   0.12   6.629774e-14 3.108054e-15
57013.967    0.109   0.011   -0.16   0.10   7.404551e-14 3.471271e-15
57021.350    0.155   0.013   -0.10   0.08   7.071291e-14 3.315038e-15
57029.532    0.091   0.011   +0.24   0.12   6.158837e-14 2.887277e-15
57037.595    0.065   0.009   +0.27   0.14   6.102373e-14 2.860807e-15
57045.119    0.075   0.009   +0.08   0.12   6.158837e-14 2.887277e-15
57053.965    0.077   0.011   +0.00   0.14   6.753031e-14 3.165837e-15
57061.954    0.145   0.012   -0.12   0.08   7.611999e-14 3.568523e-15
57165.626    0.306   0.019   +0.02   0.06   7.611999e-14 3.568523e-15
57173.681    0.387   0.022   -0.03   0.06   7.753517e-14 3.634867e-15
57181.321    0.309   0.019   +0.05   0.06   6.691118e-14 3.136812e-15
57192.104    0.115   0.009   -0.13   0.09   7.336666e-14 3.439446e-15
57206.213    0.413   0.023   -0.01   0.06   7.071291e-14 3.315038e-15
57212.367    0.125   0.013   +0.01   0.11   6.942226e-14 3.254532e-15
57221.045    0.532   0.025   -0.29   0.05   7.753517e-14 3.634867e-15
57229.793    0.267   0.018   -0.18   0.11   7.404551e-14 3.471271e-15
57257.416    0.682   0.050   -0.09   0.07   6.878579e-14 3.224694e-15
57260.476    0.289   0.020   -0.14   0.07   6.942226e-14 3.254532e-15
57264.075    0.397   0.028   +0.01   0.07   6.568992e-14 3.079559e-15
57273.688    0.350   0.022   +0.07   0.06   6.753031e-14 3.165837e-15
57281.632    0.385   0.030   -0.07   0.08   7.825259e-14 3.668500e-15
57289.601    0.211   0.016   +0.05   0.08   7.336666e-14 3.439446e-15
57297.719    0.165   0.019    NA     0.00   7.071291e-14 3.315038e-15
57305.361    0.119   0.014    NA     0.00   6.629774e-14 3.108054e-15
57313.159    0.220   0.017    NA     0.00   6.942226e-14 3.254532e-15
57322.331    0.111   0.012    NA     0.00   5.990992e-14 2.808591e-15
57329.767    0.046   0.012   +0.15   0.25   5.413757e-14 2.537982e-15
57350.377    0.431   0.023   -0.06   0.06   5.936066e-14 2.782842e-15
57358.583    0.371   0.020   +0.07   0.06   5.217936e-14 2.446180e-15
57361.218    0.505   0.024   -0.02   0.05   5.122698e-14 2.401533e-15
57365.272    0.243   0.019   -0.05   0.07   5.170097e-14 2.423754e-15
57369.838    0.253   0.018   +0.06   0.06   5.075732e-14 2.379515e-15
57373.926    0.158   0.019   -0.30   0.10   5.266217e-14 2.468815e-15
57377.839    0.369   0.032   -0.14   0.06   4.937405e-14 2.314667e-15
57381.162    0.259   0.017   +0.08   0.05   4.461683e-14 2.091648e-15
57385.428    0.064   0.009   +0.39   0.12   4.260874e-14 1.997508e-15
57387.405    0.069   0.013   +0.30   0.12   4.300300e-14 2.430391e-15
57389.131    0.152   0.011   +0.09   0.07   4.260874e-14 1.997508e-15
57391.171    0.102   0.010   -0.17   0.07   4.183105e-14 1.961049e-15
57393.820    0.273   0.021   -0.10   0.07   4.340090e-14 2.034644e-15
57394.191    0.158   0.011   +0.13   0.07   4.260874e-14 1.997508e-15
57397.711    0.152   0.015   +0.08   0.11   4.069103e-14 1.907605e-15
57401.432    0.087   0.013   +0.47   0.13   3.850337e-14 1.805047e-15 
57409.045    0.062   0.009   +0.05   0.13   3.958209e-14 1.855618e-15
57417.431    0.044   0.008   +0.03   0.17   3.711066e-14 1.739757e-15
57425.177    0.041   0.007   +0.10   0.15   3.780060e-14 1.772101e-15
57432.149    0.029   0.007   -0.45   0.30   4.340090e-14 2.034644e-15
57529.435    0.064   0.014   -0.15   0.20   4.937405e-14 2.314667e-15
